energy_minus_fermi_ev,KS_orbital_DOS_per_ev,KS_orbital_DOS_per_ev_per_substrate_angstrom2,Cu2Te_projected_spectral_weight_per_ev,Cu2Te_projected_spectral_weight_per_ev_per_formula_unit,CdTe_interface_projected_spectral_weight_per_ev_per_atom,Cu2Te_interface_projected_spectral_weight_per_ev_per_atom
-20.00000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.99000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.98000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.97000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.96000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.95000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.94000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.93000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.92000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.91000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.90000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.89000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.88000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.87000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.86000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.85000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.84000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.83000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.82000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.81000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.80000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.79000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.78000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.77000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.76000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.75000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.74000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.73000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.72000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.71000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.70000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.69000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.68000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.67000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.66000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.65000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
-19.64000000,0.000000000000e+00,0.000000000000e+00,,,0.000000000000e+00,
